C:\MSDCHEM\1\DATA\20150910HYDE\150910Hyde056.d 15 Sep 15   8:23 pm
Start of data points
2.10982,23000
2.132,22519
2.15417,21268
2.17635,17624
2.19852,19533
2.2207,19097
2.24288,17855
2.26505,16698
2.28723,16411
2.3094,16580
2.33158,17256
2.35375,17348
2.37593,15961
2.39812,16096
2.42028,16487
2.44247,15890
2.46463,14306
2.48682,15437
2.509,16574
2.53117,14945
2.55335,14910
2.57552,15332
2.5977,15491
2.61987,15750
2.64205,16217
2.66423,14684
2.6864,13913
2.70858,15413
2.73075,15517
2.75293,15366
2.77512,14521
2.79728,14539
2.81947,13961
2.84163,14091
2.86382,14903
2.886,14299
2.90817,14207
2.93035,14365
2.95252,13925
2.9747,14969
2.99687,13326
3.01905,13632
3.04123,13395
3.0634,13968
3.08558,12258
3.10775,12892
3.12993,12414
3.15212,13194
3.17428,11617
3.19647,12489
3.21863,13240
3.24082,13265
3.26298,13089
3.28517,12891
3.30735,12418
3.32952,12600
3.3517,12082
3.37387,12523
3.39605,11856
3.41823,11943
3.4404,11231
3.46258,11359
3.48475,11760
3.50693,13743
3.5291,11280
3.55128,11979
3.57347,10957
3.59563,11636
3.61782,12102
3.63998,12653
3.66217,11822
3.68435,11798
3.70652,11484
3.7287,10640
3.75087,11611
3.77305,11959
3.79522,10300
3.8174,11169
3.83958,10615
3.86175,10724
3.88393,10773
3.9061,11315
3.92828,10653
3.95047,12070
3.97263,10361
3.99482,10149
4.01698,11101
4.03917,11508
4.06133,11278
4.08352,10846
4.1057,10935
4.12787,11520
4.15005,11205
4.17222,10669
4.1944,10408
4.21658,10392
4.23875,10615
4.26093,9720
4.2831,10149
4.30528,12201
4.32745,11859
4.34963,12533
4.37182,22291
4.39398,52158
4.41617,101320
4.43833,104840
4.46052,66276
4.4827,43639
4.50487,29699
4.52705,25056
4.54922,23896
4.5714,21465
4.59357,26977
4.61575,35348
4.63793,34247
4.6601,26958
4.68228,21047
4.70445,18109
4.72663,16724
4.74882,15763
4.77098,14719
4.79317,13946
4.81533,13787
4.83752,12720
4.85968,14657
4.88187,13588
4.90405,13177
4.92622,12036
4.9484,10920
4.97057,12632
4.99275,11320
5.01493,10587
5.0371,10731
5.05928,10857
5.08145,10052
5.10363,11527
5.12582,10436
5.14798,10665
5.17017,11455
5.19233,11019
5.21452,11131
5.23668,10527
5.25887,9575
5.28105,9870
5.30322,9429
5.3254,10010
5.34757,10490
5.36975,11646
5.39193,10464
5.4141,9447
5.43628,9500
5.45845,9909
5.48063,10031
5.5028,9113
5.52498,9509
5.54717,9381
5.56933,9043
5.59152,8479
5.61368,7999
5.63587,9075
5.65805,8596
5.68022,11916
5.7024,15224
5.72457,15020
5.74675,13905
5.76892,10992
5.7911,10627
5.81328,11413
5.83545,11891
5.85763,10853
5.8798,12012
5.90198,8462
5.92417,8557
5.94633,8332
5.96852,8311
5.99068,9161
6.01287,6894
6.03503,7054
